,comments,date
180,"dari pada gabut, iseng-iseng cek net buy & net sell bulanan (Lot) $PANI pada 10 sekuritas (source : Ajaib)

September :
Net Buy : 460K lot
Net Sell : 608K lot
Pattern Distribusi karena nett sell > nett buy : Cek Seasonality hasilnya minus

October :
Net Buy : 155K lot
Net Sell : 158K lot
Pattern Distribusi karena nett sell > nett buy : Cek Seasonality hasilnya minus

November :
Net Buy : 161K lot
Net Sell : 134K lot
Pattern Akumulasi karena nett sell < nett buy : Cek Seasonality hasilnya positif

Jumlah lot October & November beda tipis masihh 155-162K nahhh, di September sampe 460K-600K.
kamu ketauan...yg hold nambah. 😂 😂

jikalau...andaikata...misalkan total net buy & net sell Des di angka 125K-128K berarti tukang hold saham bertambah.

* hanya sekedar ketak ketik sambil makann sate padang. 😆 😂
** analisa pribadi, pendapat pribadi.","30 Nov 22, 19:10"
181,@MarlonSitorus mana mana mana LK nya wkwkwk… $INDY udah keluar udah pasti naik…tinggal nunggu $PANI nih LK Q3 nya 😃😃😃😃,"30 Nov 22, 17:56"
182,"$PANI hari ini batas akhir penerbitan laporan keuangan q 3 , pantai terus guys","30 Nov 22, 17:53"
183,$PANI dilihat dari bid tebal kadang terlihat palsu bukan buat ganjalan,"30 Nov 22, 15:08"
184,$PANI Rabu good day guyss makasih y bikin hati tenang ijo ijo gitu,"30 Nov 22, 13:54"
185,"$PANI kira"" close di berapa hari ini guyss?","30 Nov 22, 12:33"
186,$PANI. ngeri ngeri bid palsu di 1050 (10.000 lot) jebol kebawah khah?,"30 Nov 22, 11:32"
187,apakabar $PANI,"30 Nov 22, 10:39"
188,"melihat besarnya PER dari $PANI industri kaleng blek bisa jadi nanti sangat prospektif dimasa yg akan datang, dengan cash hanya 3 Miliard perusahaan ini dihargai 14 Trillioonn. atau bisa juga kaleng blek itu dimasa yang akan datang bisa menyimpan Jin. perusahaan ini selangkah lebih maju dari $TECH yang dihargai dengan PER 4000 kali yang beritanya di koran koran sudah sukses jualan di harga 7000an. $GOTO $BUKA","30 Nov 22, 10:09"
189,"iseng-iseng pantau $WIRG trs iseng-iseng buy, eehhhh iseng-iseng cuan. 😂 😂

$PANI sempet serok pas under 1000, trs simpennn deh..

$SINI gak kebagian 😆 😂 pantau besok aja.","30 Nov 22, 09:39"
